도서관명,주소,전화번호
용꿈꾸는작은도서관,서울특별시 관악구 관악로 145 관악구청 본관 1층 (청룡동 1570-1) 1층,02-889-8823~5
우듬지작은도서관,서울특별시 관악구 관악로 223,
은천2단지작은도서관,서울특별시 관악구 인헌12길 46-1 (은천2단지아파트) 2층,02-887-3168
은천동작은도서관,서울특별시 관악구 봉천로33나길 30,02-877-1162-4
은천동한울작은도서관,"서울특별시 관악구 국회단지2길 29-10, 은천동자치회관 2층 ",02-876-4091
이편한세상 서울대입구1단지 작은도서관,서울특별시 관악구 청룡10길45 102동,
이편한세상 서울대입구2단지 작은도서관,서울특별시 관악구 청룡16길43 202동,
인헌동보물섬작은도서관,서울특별시 관악구 남부순환로246가길 20 인헌동주민센터 2층 ,02-889-4941
조원도서관,서울특별시 관악구 조원로12길 25,02-851-5571-2
중앙동새싹작은도서관,서울특별시 관악구 양녕로6다길 7 중앙동주민센터 1층 ,02-875-9513
책 N 꿈 도서관,서울특별시 관악구 남부순환로1989,
책쉼터,서울특별시 관악구 낙성대로3길 37 관악구민종합체육센터 2층 223-9 2층,02-879-5712
책이랑놀이랑도서관,서울특별시 관악구 행운1길 12 신창문화복지센터 2층 1675-12 신창문화복지센터 2층 ,02-878-0955
청룡동숯고을작은도서관,서울특별시 관악구 쑥고개로 44 청룡동주민센터 2층 ,02-876-4083
청림동푸른숲작은도서관,서울특별시 관악구 관악로 40길 39 청림동주민센터 3층 ,02-876-4090
푸른나무작은도서관,서울특별시 관악구 남부순환로 1978-1 지하,
푸른들작은도서관,서울시 관악구 청림2길16 1층,
한울타리도서관,서울특별시 관악구 인헌12길 46-2 은천아파트,02-871-2632
행운동마루작은도서관,서울특별시 관악구 행운1길 43 행운동주민센터 2층 ,02-876-3434
광장동새마을작은도서관,서울특별시 광진구 광장로 52 광장동주민센터 2층,02-458-8379
광장현대파크빌도서관,서울특별시 광진구 아차산로 549 현대파크빌아파트관리사무소 1층 ,02-458-7480
광진정보도서관,서울특별시 광진구 아차산로78길 90(광장동),02-3437-5092~5  
구의1동새마을작은도서관,서울특별시 광진구 광나루로36길 56  구의1동주민센터 2층,02-454-2830
구의2동새마을작은도서관,서울특별시 광진구 천호대로136길 55 구의2동주민센터 2층,02-458-1380
구의제3동도서관,서울특별시 광진구 강변역로 17(구의동),02-454-6294
국립정신건강센터의학정보실,서울특별시 광진구 용마산로 127 국립정신건강센터 5층,02-2204-0340
국제문학작은도서관,"서울특별시 광진구 광나루로15길 41, 1층 101호",02-466-7271
군자동도서관,서울특별시 광진구 면목로 13 군자동복합청사 1층,02-2049-2960
군자동새마을작은도서관,서울특별시 광진구 군자로 151 군자동주민센터 3층,02-465-9082
능동새마을작은도서관,서울특별시 광진구 천호대로112길 55 능동주민센터 1층,02-453-6525
더바움문화예술작은도서관,서울특별시 광진구 구의로 39 지하1층,02-443-6366
사람아이앤지작은도서관,서울특별시 광진구  광진구 자양로 322 3층 (구의동) ,02-823-4514
사하라작은도서관,"서울특별시 광진구 광장로78, 2층(광장동,광성빌딩)",02-453-7068
새빛작은도서관,서울특별시 광진구 아차산로 330(자양동) 1층,02-3436-6852
샘터작은도서관,서울특별시 광진구 용마산로24길 10 1층,
서울물연구원자료실,서울특별시 광진구 천호대로 716-10,02-3146-1715
선린동산작은도서관,"서울특별시 광진구 뚝섬로 43길 14, 3층",
성신비전스쿨작은도서관,서울특별시 광진구 동일로 160(화양동) 성신교회 지하1층,02-463-5959
솔로몬작은도서관,"서울특별시 광진구 용마산로 47, 2층",
아름드리작은도서관,서울특별시 광진구 워커힐로 93 정립회관 본관 2층,02-446-1237
아차산숲속도서관,서울특별시 광진구 영화사로 139,
아차산아래작은도서관놀자,서울특별시 광진구 자양로 50가길 45 2층,02-2272-2011
어린이작은도서관주영심나무,서울특별시 광진구 용마산로1길 91 101호 101호,02-457-8822
예드림작은도서관,서울특별시 광진구 구의강변로 96 현대6차 종합상가 지하 101호,02-6408-0014
운룡도서관,서울특별시 광진구 자양로43길 85 지층,02-454-3431
이룸도서관,서울특별시 광진구 용마산로 49,02-446-0691
자양1동새마을작은도서관,서울특별시 광진구 자양로13길 37 자양1동주민센터 2층,02-446-0135
자양2동새마을작은도서관,서울특별시 광진구 자양로3가길 26 자양2동주민센터 3층,02-498-9963
자양3동새마을작은도서관,서울특별시 광진구 뚝섬로 568 자양3동주민센터 1층,02-458-4525
자양4동새마을작은도서관,서울특별시 광진구 아차산로24길 17 공공힐링센터 3층,02-462-0395
자양전통시장작은도서관,서울특별시 광진구 뚝섬로47길 45-2 고객쉼터 2층,02-6349-0809
자양제4동도서관,서울특별시 광진구 뚝섬로26길 58 (자양동),02-465-0737-8
자양한강도서관,서울특별시 광진구 뚝섬로52길 66(자양동),02-456-0048
중곡1동새마을작은도서관,서울특별시 광진구 긴고랑로12길 49 중곡1동주민센터 2층,02-461-9058
중곡2동새마을작은도서관,서울특별시 광진구 능동로 346 중곡2동주민센터 2층,02-458-7036
중곡3동새마을작은도서관,서울특별시 광진구 동일로76가길 28 중곡3동주민센터 1층,02-462-4916
중곡4동새마을작은도서관,서울특별시 광진구 긴고랑로 131 중곡4동주민센터 1층,02-2201-8509
중곡교회작은도서관,서울특별시 광진구 긴고랑로 36길 56 중곡교회 지층 지하1층,02-452-4985
중곡문화체육센터도서관,서울특별시 광진구 능동로 433 (중곡동),02-3408-4960
평강마을도서관,서울특별시 광진구 자양번영로4길 13(평강침례교회) 2층,02-453-6238
하람도서관,서울특별시 광진구 용마산로 16길 18 1층 102호,02-475-7791
화양동새마을작은도서관,서울특별시 광진구 능동로17길 39 화양동주민센터 3층,02-461-2638
가리봉동도서관,서울특별시 구로구 남부순환로 105길 198 가리봉동자치회관,02-860-2518
개봉2동도서관,서울특별시 구로구 개봉로16가길 17 개봉2동주민센터 ,02-2620-7851
개봉3동도서관,서울특별시 구로구 개봉로3길 47 개봉3동주민센터 2층,02-2620-7852
개봉도서관,서울특별시 구로구 개봉로16길 30-11,02-2689-1695
개봉푸르지오도서관,서울특별시 구로구 남부순환로 775 1층,070-4206-0466
고척1동도서관,서울특별시 구로구 중앙로3길 18-8 고척1동 주민센터,02-2620-7848
고척2동도서관,서울특별시 구로구 중앙로15길 22 고척2동주민센터 ,02-2620-7849
고척교회도서관책마을,서울특별시 구로구 중앙로 79 고척교회 ,02-2686-5871
고척벽산베스트블루밍아파트 ,서울특별시 구로구 고척로 60길 30 관리사무소 2층,02-2066-2954
고척벽산블루밍(아)경로당 작은도서관,서울특별시 구로구 경인로390 벽산블루밍 경로당,02-63634-6233
고척열린도서관,서울 구로구 경인로43길 49,02-2615-2006
광진교회도서실,서울특별시 구로구 개봉로3길 100-10 광진교회,02-2625-0761
구로1동도서관,서울특별시 구로구 구일로4길 57 구로1동주민센터 2층,02-2620-7842
구로2동도서관,서울특별시 구로구 구로동로50길 10 구로2동자치회관 ,02-2620-7843
구로4동도서관,서울특별시 구로구 구로동로28길 94 구로4동주민센터,02-2620-7845
구로5동도서관,서울특별시 구로구 구로중앙로28길 66 구로5동주민센터,02-2620-7846
구로구노동자종합지원센터작은도서관,"서울특별시 구로구 디지털로242, 한화비즈메트로 203호, 213호",02-852-7340
구로구립온누리도서관,"서울특별시 구로구 구로중앙로27나길 9, 4층 (구로초등학교 온누리관)",02-858-9080
구로기적의도서관,서울특별시 구로구 구로중앙로40길 24(신도림동),02-2632-8878
구로꿈나무도서관,"서울특별시 구로구 구로동로26길 54, 2층 (구로구시설관리공단)",02-830-1623
궁동어린이도서관,서울특별시 구로구 오리로 1352,02-2060-8229
그래그래작은도서관,서울특별시 구로구 구일로8길 131 ,0507-1328-3238
글로벌나눔도서관,서울특별시 구로구 경인로 619-30 3층,02-6406-5911
글마루한옥어린이도서관,서울특별시 구로구 고척로27바길 7,02-2615-8200
글초롱작은도서관,서울특별시 구로구 오리로 1102-10 천왕연지타운2단지 관리동 ,070-8635-1668
금강수목원아파트작은도서관,"서울특별시 구로구 오리로 1197, 관리사무소 건물 2층",02-2689-1956
길숲도서관,서울특별시 구로구 신도림로 3길 19 새서울교회,070-8987-6591
꿈꾸는SH작은도서관,서울특별시 구로구 연동로 234 하버라인 2단지 1층,02-2066-1599
꿈꾸는언덕작은도서관(천왕1단지),서울특별시 구로구 천왕로 91 천왕이펜하우스1단지 천왕이펜하우스 1단지 104동 지하층 관리사무소 옆,02-2614-1772
꿈꾸는작은도서관,서울특별시 구로구 도림로 20길 40 ,
꿈나래SH작은도서관,서울특별시 구로구 항동로 72 하버라인 4단지,
꿈마루작은도서관,"서울특별시 구로구 구로중앙로28다길 5, 대신교회 2층",02-863-2998
꿈마을도서관,서울특별시 구로구 디지털로27다길 65,02-830-5807
꿈터작은도서관(천왕이펜6단지),서울특별시 구로구 천왕로 9 천왕이펜하우스 6단지 ,02-6083-2787
단비작은도서관,서울특별시 구로구 고척동 337 3층,02-845-9176
담쟁이넝쿨도서관,서울특별시 구로구 개봉로11길 35-9 영문교회 이심전심마을회관 내,02-2625-9210
도담도담작은도서관,서울특별시 구로구 경인로8길 75 삼천리APT 상가 3층 ,
도토리SH작은도서관,서울특별시 구로구 연동로 191-5 하버라인 11단지 1층,02-2684-0911
둘레길작은도서관(천왕4단지),"서울특별시 구로구 천왕로 29, 408 (천왕이펜하우스4단지) 408동 1층",070-4416-3434
따뜻한마음작은도서관,서울특별시 구로구 신도림로11길8 4층 코딱지도서관 ,02-2068-1388
로즈빌도서관,서울특별시 구로구 경인로 343 (삼환로즈빌) 관리사무소건물 2층,02-2066-9548
마중물도서관,"서울특별시 구로구 부일로 853, 2층(양곡빌딩) 대흥상가 3층",02-6218-7783
몽당연필도서관,서울특별시 구로구 오리로20길 32 평화의교회 평화의 교회,
배고픈사자,서울특별시 구로구 구로동로38길 10 2층 3층,02-855-1211
별빛맞이SH작은도서관,서울특별시 구로구 서해안로 2036 ,02-2611-8087
봄봄작은도서관,서울특별시 구로구 신도림로21길 25 302호,02-865-2587
새광명도서관,서울특별시 구로구 개봉로18길 39 새광명교회 ,02-2060-9009
서남작은도서관,서울특별시 구로구 부일로11길 32 (대주빌라) 서남교회,02-2617-5543
서울가든빌라도서관,서울특별시 구로구 경인로 83 (서울가든빌라) 관리사무소건물 2층,02-2681-3911
서울남문고,서울특별시 구로구 구로동로17길 37-4 서울남교회 ,02-867-1406
서울특별시교육청고척도서관,서울특별시 구로구 고척로45길 31,02-2615-0524
서울특별시교육청구로도서관,서울특별시 구로구 공원로 15,02-6958-2800
수궁동도서관,서울특별시 구로구 오리로15길 32 수궁동주민센터 수궁동주민센터,02-2620-7855
숲속SH작은도서관,서울특별시 구로구 항동로 43 항동하버라인3단지,02-3666-0361
시끄러운 작은도서관,서울특별시 구로구 디지털로 31길 93,02-852-0259
신도림3차 동아아파트 작은도서관,서울특별시 구로구 신도림로 78 관리사무소 2층,02-2633-7846
신도림동새마을작은도서관,서울특별시 구로구 신도림로 40 신도림동주민센터 신도림동 주민자치센터 2층,02-2620-7841
신도림어린이영어작은도서관,서울특별시 구로구 신도림로 40 신도림동주민센터 신도림동주민센터2층,02-2069-0185
신도림월드메르디앙,서울특별시 구로구 신도림로 65 ,02-2671-5568
아름도서관,서울특별시 구로구 부일로9길 127 온수힐스테이트 ,02-2060-1685
에델도서관,서울특별시 구로구 천왕로 47 에델마을 복지회관,02-2688-6109
연지타운1단지작은도서관,서울특별시 구로구 오류로 30 천왕연지타운1단지 103동 1층 103동 1층,02-2613-9886
열린숲작은도서관,서울특별시 구로구 디지털로33길 27(구로동) 삼성IT밸리 1층(삼성아이티밸리),02-2028-2361
예샘작은도서관,"서울특별시 구로구 구로중앙로6길 40, 3층 ",
오류1동도서관,서울특별시 구로구 경인로 221 오류1동주민센터 2층(3층),02-2620-7853
오류2동도서관,서울특별시 구로구 오리로 10길 44-5 오류2동주민센터 ,070-4065-6523
오류동제일교회작은도서관,서울특별시 구로구 오류로8나길 9-5 1층,02-2625-9380
옹달샘작은도서관,"서울특별시 구로구 천왕로 56,(천왕동, 천왕이펜하우스3단지) 2층",02-2689-1513
은성도서관,서울특별시 구로구 고척로23길 20 은성교회 ,02-2614-0416
이니텍도서관,서울특별시 구로구 벚꽃로 484 화원종합사회복지관 3층,02-837-0761
중앙하이츠도서관,서울특별시 구로구 구로동로47길 24 구로중앙하이츠아파트 복지관 2층 ,02-854-6751
지혜로운 작은도서관,서울특별시 구로구 연동로 233 지하1층 중흥클래스,
참새소풍작은도서관(천왕2단지),서울특별시 구로구 천왕로 92 천왕이펜하우스2단지 천왕이펜하우스 203동 1층 ,02-2611-2013
천왕7단지작은도서관,"서울특별시 구로구 천왕로21, 701동 1층 701동 1층",
천왕마을작은도서관,서울특별시 구로구 천왕로36 센타프라자 306호,02-2687-8183
카페함크작은도서관,서울특별시 구로구 고척로141 2층,02-2611-1318
코비나작은도서관,"서울특별시 구로구 가마산로26길 27, 201호 ",02-561-8284
쿵짝쿵짝공작소작은도서관,서울특별시 구로구 부일로17길 24-3 (궁동)지층,
큐브북카페,"서울특별시 구로구 경인로 662, B동 30층 (디큐브시티) ",02-3667-9001
푸른꿈작은도서관,서울특별시 성북구 삼선교로 59-1(삼선동 4가) 은광교회,070-7719-5796
하늘도서관,서울특별시 구로구 구로동로13길 68,02-864-9585
하늘마루작은도서관(천왕5단지),서울특별시 구로구 천왕로 10 천왕이펜하우스5단지 천왕이펜하우스 5단지 504동 1층 ,02-2165-6155
하버라인 9단지 작은도서관,서울특별시 구로구 항동로 68 하버라인 9단지 901동 커뮤니티센터,02-2682-0999
한국산업기술시험원도서관,서울특별시 구로구 디지털로26길 87,02-860-1201
한양수자인에듀힐즈아파트작은도서관,서울특별시 구로구 항동로 42 1층,02-2617-3016
항동 사랑마을 작은도서관,서울특별시 구로구 서해안로 2072,02-2684-8428
항동 작은도서관,서울특별시 구로구 연동로 191-19,02-2620-7986
항동푸른도서관,서울특별시 구로구 연동로 290-46 (항동),02-2613-2022
행복한작은도서관,서울특별시 구로구 개봉로12길 42 (개봉동) 2층,02-2625-5279
흥부네작은도서관,서울특별시 구로구 고척로1길 30 흥부네작은도서관,02-2060-1742
금천구립가산도서관,서울특별시 금천구 가산로5길 43,02-865-6817~9
금천구립금나래도서관,서울특별시 금천구 시흥대로73길 70,02-2627-2992
금천구립독산도서관,서울특별시 금천구 독산로54길 114,02-863-9544
금천구립시흥도서관,서울특별시 금천구 금하로 764(시흥동) 금천종합복지타운(시흥2동주민센터),02-809-8242
길빛작은도서관,서울특별시 금천구 독산로 16 (시흥동) 새부대교회,02-6448-4162
꿈꾸는작은도서관,서울특별시 금천구 시흥대로12길 10-5(시흥동) 남부도로사업소 동네방네 마을이음센터 2층,02-2104-5688
꿈씨어린이작은도서관,서울특별시 금천구 독산로 232 독산4동주민센터 2층,02-2104-5625
나누리작은도서관,"서울특별시 은평구 진관1로 55, (진관동, 은평뉴타운 마고정) 301호",
도란도란작은도서관,서울특별시 노원구 동일로 186길 3-24 공릉1동주민센터 ,02-2116-2495
롯데캐슬1차작은도서관,서울특별시 금천구 벚꽃로40 ,070-4405-8780
마루한작은도서관,서울특별시 금천구 금하로 679 202호,
맑은누리작은도서관,"서울특별시 금천구 시흥대로58길 36, 시흥1동주민센터 5층 ",02-2104-5649
미래향기작은도서관,"서울특별시 금천구 독산로179, 독산2동주민센터 1층 ",02-2104-5584
산돌어린이도서관,"서울특별시 금천구 시흥대로75길 12, 산돌문화센터 2층 ",02-808-7902
샘솟는작은도서관,서울특별시 금천구 독산로64길 15 (독산동) 샘솟는화평교회 ,02-854-0500
소망의나무어린이작은도서관,서울특별시 금천구 금하로 11길 14 시흥장로교회,02-804-9596
와서작은도서관,서울특별시 벚꽃로56길 62 B01,02-859-2414
우리울작은도서관,서울특별시 금천구 범안로12가길 49 (독산동) 샘물교회 2층 ,070-7573-3321
은행나무어린이도서관,서울특별시 금천구 탑골로 43-8 1층,02-892-7894
지혜의숲작은도서관,서울특별시 금천구 시흥대로90길 25 신일교회 1층,070-4192-5822
참새작은도서관,서울특별시 금천구 한내로 69-15 (주공13단지아파트) 금천한내종합복지관 3층,02-895-8240
책달샘숲속작은도서관,서울특별시 금천구 독산동 373 감로천생태공원 내 ,02-2104-5733
책이든거리작은도서관,서울특별시 금천구 범안로 1130 독산역2번출구앞 ,02-853-3327
책읽는마을작은도서관,서울특별시 금천구 독산로74길 31 1층,02-858-9919
책읽는주민사랑방작은도서관,"서울특별시 금천구 금하로21길 20, 시흥5동주민센터 2층 ",02-2104-5729
청개구리작은도서관,"서울특별시 금천구 독산로 317, 독산3동주민센터 3층 ",02-857-4183
트리니티작은도서관,"서울특별시 금천구 시흥대로 72길 13, 시흥중앙성결교회 1층 ",02-802-5390
한국대학교육협의회문헌정보실,서울특별시 금천구 서부샛길 606 대성디폴리스 A동 22~23층,02-6919-3902
해오름작은도서관,"서울특별시 금천구 시흥대로123길 11, 독산1동 주민센터 4층",02-2104-5569
KB국민은행과 함께하는 나무작은도서관,"서울특별시 노원구 동일로 1405, KB금융 노원프라자 (상계동) 별관1층",070-4158-9660
가온작은도서관,서울특별시 노원구 노원로530 상계10동주민센터 ,02-2116-2946
가재울 지혜마루 작은도서관,서울특별시 노원구 한글비석로 97 (하계1동) 에너지제로주택 주민커뮤니티동 1층,02-2116-2564
공릉행복발전소공릉도서관,서울특별시 노원구 동일로179길 22,02-976-3820
국민체육진흥공단한국스포츠개발원도서관,서울특별시 노원구 화랑로 727 국민체육진흥공단 한국스포츠개발원,02-970-9524
글빛작은도서관,서울특별시 노원구 중계로 144 민호프라자 4층 민호프라자 3층,02-938-1695
금빛도서관,서울특별시 노원구 상계로26길 20 대동청솔아파트 상가3층 대동아파트 상가3층,02-939-7712
꿈꾸는작은도서관,서울특별시 노원구 석계로 59 월계1동주민센터 꿈꾸는 작은도서관,02-2116-2410
노원문화원작은도서관,서울특별시 노원구 동일로 197길 24 노원문화원 2층 ,02-948-1245
노원어린이도서관,서울특별시 노원구 한글비석로 346,02-933-7145
노원을지대학교병원 의학도서실,서울특별시 노원구 한글비석로 68 을지병원 도서실,02-970-8445
노원중앙도서관,서울특별시 노원구 노원로34길 43,02-950-0050
달내작은도서관,서울특별시 노원구 초안산로5길 28 월계2동주민센터,02-2116-2435
도란도란작은도서관,서울특별시 노원구 동일로 186길 3-24 공릉1동주민센터,02-2104-5706
메아리작은도서관,서울특별시 노원구 동일로217길 48 노원평생교육원 1층 ,02-2116-2854
바르미작은도서관,서울특별시 노원구 덕릉로 70가길 21 중계센트럴파크 입주복지센터 내,02-935-1002
반디작은도서관,서울특별시 노원구 동일로 227길 97 상계8동주민센터 ,02-2116-2887
북부종합사회복지관 신한카드아름인도서관,서울특별시 노원구 동일로245길 56 북부종합사회복지관,02-934-7711
북서울미술관아트도서실,서울특별시 노원구 동일로 1238,02-2124-5281
불암도서관,서울특별시 노원구 중계로 106,02-935-0721
삼육대평생교육원 이야기방 작은도서관,"서울특별시 노원구 화랑로 815, 삼육대평생교육원 207호",02-3399-1201
상계도서관,서울특별시 노원구 동일로243길 57,02-3391-7882
상계숲속작은도서관,서울특별시 노원구 동일로 227길 106 ,02-3391-7889
상계주공14단지아파트문화사랑방도서실,"서울특별시 노원구 동일로228길 23, 관리동 2층(상계주공14단지아파트)",02-939-4976
서울점자도서관,서울특별시 노원구 동일로 1335,02-935-9696
서울특별시교육청노원평생학습관,서울특별시 노원구 동일로204길 13,02-979-1741
솜니움 독서코칭 전문도서관,"서울특별시 노원구 한글비석로 15길 11, 중계빌딩 2층",02-930-1319
수락작은도서관,"서울특별시 노원구 덕릉로 859 상계3,4동주민센터 ",02-2116-2793
열린작은도서관,서울특별시 노원구 공릉로55길 88 하계2동주민센터 ,02-2116-2592
원더풀도서관,"서울특별시 노원구 초안산로 19, 큰무리교회 지하 1층 ",02-997-7004
월계도서관,서울특별시 노원구 월계로 319,02-991-0871
월계어린이도서관,서울특별시 월계로 42길 9 월계문화복지센터,070-4238-5148
육사작은도서관,서울특별시 노원구 화랑로 564 1층,02-950-6122
을지대학교을지병원의학도서실,서울특별시 노원구 한글비석로 68 을지병원 도서실,02-970-8445
인제대학교상계백병원의학도서실,서울특별시 노원구 동일로 1353 성일빌딩 5층,02-950-1384
작고행복한청구3차도서관,서울특별시 노원구 중계로 233 청구3차아파트 관리동2층 ,02-935-8046
중계9단지 반딧불작은도서관,"서울특별시 노원구 노원로16길 15, 상가동",
중계사랑작은도서관,서울특별시 노원구 덕릉로82길 50 중계4동주민센터,02-2116-2717
중계종합사회복지관 CAN DO도서관,서울특별시 노원구 덕릉로 662 중계종합사회복지관,02-952-0333
중계주공10단지책과친구들,서울특별시 노워구 노원로22길 53 주공10단지아파트관리사무소 ,02-932-3970
지혜의샘 작은도서관,"서울특별시 노원구 동일로 193가길 8, 봉화현 교회 1층",02-973-0683
참사랑평화학교 도서관,"서울특별시 노원구 한글비석로 93, 참사랑평화학교 4층",070-5050-1703
책누리작은도서관,서울특별시 노원구 중계로 143 중계본동주민센터 ,02-2116-2621
책사랑작은도서관,서울특별시 노원구 한글비석로 279 중계1동주민센터,02-2116-2643
책이랑친구랑작은도서관,서울특별시 노원구 노원로1길 68 공릉2동주민센터 ,02-2116-2537
초안산숲속작은도서관,서울특별시 노원구 덕릉로 60길 199 ,02-905-3900
트램작은도서관,"서울특별시 노원구  화랑로 610, 불빛정원 내 ",070-8767-1123
파랑새작은도서관,서울특별시 노원구 상계로 118 상계2동주민센터 2층,02-2116-2762
푸른숲작은도서관,서울특별시 노원구 동일로 1697 상계1동주민센터 ,02-2116-2745
하계어린이도서관,서울특별시 노원구 공릉로62길 18(하계어울림센터),02-979-7644
하늘작은도서관,"서울특별시 노원구 노원로 17길 56 중계2,3동 주민센터 4층",02-2116-2679
하늘품작은도서관,서울특별시 노원구 상계로23다길 33 지하1층,070-7758-0323
한길문고,서울특별시 노원구 한글비석로49길 63 4층 102호,02-931-7234
한내지혜의숲도서관,서울특별시 노원구 마들로86(월계동) 한내근린공원내,02-979-7420
한내행복발전소 작은도서관 ,서울특별시 노원구 마들로3길 15(월계동) 한내행복발전소 ,070-4206-0061
한울문고,서울특별시 노원구 누원로 28 수락리버시티3단지 주민공동시설 수락리버시티 주민공동시설내,02-3392-1116
한울작은도서관,서울특별시 노원구 한글비석로 487 상계9동주민센터 2층 ,02-2116-2919
해링턴 북토피아 작은도서관,"서울특별시 노원구 공릉로34길 86, 커뮤니티센터",02-972-0103
해솔작은도서관,서울특별시 노원구 한글비석로 434 상계5동주민센터 ,02-2116-2837
향기나무도서관,서울특별시 노원구 노원로 331 노원아동복지관,02-2116-4448
화랑도서관,서울특별시 노원구 노원로1나길 10,02-973-1318
김근태기념도서관 ,서울특별시 도봉구 도봉산길 14,02-956-3100
김수영문학도서관,"서울특별시 도봉구 해등로32길 80, 김수영문학관 3층 ",02-2091-5906
꿈을심는작은도서관,서울특별시 도봉구 우이천로 38 라길 28-4 1층,02-992-4106
나눔플러스아름인도서관,서울특별시 도봉구 도봉로109길 40 2층,02-997-5579
도봉1동작은도서관,"서울특별시 도봉구 도봉로169나길 22, 도봉1동 주민센터 2층",02-2091-5912
도봉2동작은도서관,"서울특별시 도봉구 마들로 668, 도봉2동 주민센터 2층 ",02-2091-5913
도봉기적의도서관,서울특별시 도봉구 마들로 797,02-3493-7171
도봉문화정보도서관,서울특별시 도봉구 덕릉로 315,02-900-1835
도봉아이나라도서관,서울특별시 도봉구 노해로 69길 151,02-995-4171~2
둘리도서관,서울특별시 도봉구 시루봉로1길 6,02-990-2200
라온제나작은도서관,서울특별시 도봉구 우이천로20길 7 지하1층,02-902-4262
맑은샘작은도서관,서울특별시 도봉구 도봉로 145길 69 2층,070-756-06913
무수골도서관,서울특별시 도봉구 도봉로 175길 10 3층,02-3492-0078
반딧불이작은도서관,"서울특별시 도봉구 해등로 307(방학동, 우성2차 아파트) 관리동 2층",02-956-3282
방학1동작은도서관,"서울특별시 도봉구 방학로2길 27, 방학1동 주민센터 2층 ",02-2091-5904
방학2동작은도서관,"서울특별시 도봉구 시루봉로 226, 방학2동 주민센터",02-2091-5905
번창작은도서관,서울특별시 도봉구 노해로 66길 95 지하1층,02-995-0131
북서울중학교도서관(해오름도서관),서울특별시 도봉구 도봉로169가길 33 해오름터 2층,070-5090-1060
북한산아이파크작은도서관,서울특별시 도봉구 도봉로136길 28 북한산아이파크 516동 지하1층,02-6437-4596
산돌작은도서관,서울특별시 도봉구 방학로6길20- 9 지하1층,070-4647-2279
산미소작은도서관,서울특별시 도봉구 노해로 57길 94(쌍문동) 1층,02-905-9106
생글작은도서관,서울특별시 도봉구 우이천로 32길 35 2층,02-992-7500
서울특별시교육청도봉도서관,서울특별시 도봉구 삼양로 556,02-6714-7400
솔밭작은도서관,서울특별시 도봉구 삼양로 580 베다니교회 2층,02-998-9619
신창영어작은도서관,서울특별시 도봉구 덕릉로 249 3층,02-993-9851
쌍문1동작은도서관,"서울특별시 도봉구 노해로 147, 쌍문1동주민센터 2층 ",02-2091-5900
쌍문2동작은도서관,"서울특별시 도봉구 방학로3길 117, 쌍문2동주민센터 7층 ",02-2091-5901
쌍문3동작은도서관,"서울특별시 도봉구 노해로44길 9, 쌍문3동주민센터 2층 ",02-2091-5902
쌍문4동작은도서관,"서울특별시 도봉구 시루봉로 62-7, 쌍문4동 주민센터 2층",02-2091-5903
쌍문채움도서관,서울특별시 도봉구 우이천로 340,02-998-0910
씨앗작은도서관,서울특별시 도봉구 도봉로 901 부성빌딩 402호,02-954-0045
아름다운도서관,서울특별시 도봉구 도봉로104길 63 3층,02-904-2642
외갓집에가자작은도서관,서울특별시 도봉구 우이천로44길 26 B01호,02-996-9113
원당마을한옥도서관,서울특별시 도봉구 해등로32가길 17 (방학동),02-906-2022
지혜의등대작은도서관,서울특별시 도봉구 도봉로 552 도봉구민회관 4층 도봉구민회관 4층,070-4215-8936~7
참솔도서관,서울특별시 도봉구 시루봉로 193 2층 ,02-932-4733
창1동작은도서관,"서울특별시 도봉구 해등로 46, 창1동주민센터 2층",02-2091-5907
창2동작은도서관,"서울특별시 도봉구 덕릉로 59길 73-3, 창2동주민센터 2층",02-2091-5908
창3동작은도서관,"서울특별시 도봉구 덕릉로62길 89, 창3동주민센터 3층 ",02-2091-5909
창4동작은도서관,"서울특별시 도봉구 노해로 390, 창4동주민센터 5층 관리사무소 지하1층",02-2091-5910
창5동작은도서관,"서울특별시 도봉구 도봉로 136나길 20, 창5동주민센터 3층 ",02-2091-5911
초록나라도서관,서울특별시 도봉구 도봉로181길 65-8 2층 ,02-956-7956
키움작은도서관,서울특별시 도봉구 삼양로144길 11 2층 ,02-992-0191
학마을도서관,서울특별시 도봉구 시루봉로 128,02-955-0655
행복작은도서관,"서울특별시 도봉구 마들로 656, 지하1층",02-2091-2278
sk북카페꿈땅,서울특별시 동대문구 사가정로 148 SK아파트 내,02-2212-4518
가톨릭대성바오로병원의학도서관,서울특별시 동대문구 왕산로 180 가톨릭대학교 성바오로병원 별관 1층,02-958-2347
경동 1960 작은도서관,"서울시 동대문구 고산자로36길 3, 신관2층",
경희의료원의학도서실,서울특별시 동대문구 경희대로 23 정보행정동 지하 2층,02-958-9073
국립산림과학원도서관,서울특별시 동대문구 회기로 57 국립산림과학원 임산공학연구동 1층,02-961-2586
글놀이작은도서관,서울특별시 동대문구 약령시로 67 2층 ,
글로벌지식협력단지 도서자료관,서울특별시 동대문구 회기로 47 글로벌지식협력단지 교육동 1층,02-6312-4094
꿈나래 작은도서관,서울특별시 동대문구 답십리로 296(동천교회 내),02-2216-6702
꿈나무작은도서관,서울특별시 동대문구 전농로4길 7 답십리교회 1층,
꿈마루도서관,서울특별시 동대문구 이문로 55 동안교회 선교센터 ,070-7457-1190
